TC No,TC Ident,Tc Name,TC description,TC Fail Count,TC Fail msg,TC Additional fails msg,TC Error Count,TC error msg,Test Failure Probable reason,category,category_code
2,TESTCASE_60.090.001,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\failedImages\failed_5.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\errorImages\error_2.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
3,TESTCASE_60.090.001,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\failedImages\failed_9.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\errorImages\error_3.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
4,TESTCASE_60.090.002,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\failedImages\failed_1.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\errorImages\error_1.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
5,TESTCASE_60.090.002,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\failedImages\failed_5.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\errorImages\error_2.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
6,TESTCASE_60.090.002,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Key Switch Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\failedImages\failed_9.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Cannot_edit_delete_rename_KeySwitchLevel\errorImages\error_3.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
7,TESTCASE_60.090.003,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\failedImages\failed_1.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\errorImages\error_1.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
8,TESTCASE_60.090.003,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\failedImages\failed_5.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\errorImages\error_2.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
9,TESTCASE_60.090.003,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,Test to verify that the files created with Lower Access Level can be edited/renamed/moved/deleted by Higher Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\failedImages\failed_9.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_Can_edit_move_rename_delete_higer_access\errorImages\error_3.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
1,TESTCASE_60.038.001,Program Manager - Validating deletion of file or directory using delete soft key,Program Manager - Validating deletion of file or directory using delete soft key,1,"Not able to create sub directory, Test Cancelled  Line -278","Not able to create sub directory, Test Cancelled (Screenshot taken from the desktop is invalid) Path:- \ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\Program_Manager\suite_PM_Delete\tst_PM_Delete_FileDirectory\test.py",1,Script Error (Screenshot taken from the desktop is invalid) - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:1797 - TypeError: Can't call constructor for 'QVariant'. Type 'QVariant' is not known in any ApplicationContext,Unable to create sub Dir  ,create_subdir_err,19
1,TESTCASE_60.051.001,Program Manager - Verification Execute Rights of Files with different acces levels,Program Manager - Verification Execute Rights of Files with different acces levels,2,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\Program_Manager\suite_PM_Properties\tst_Properties_Rights\test.py:1257 - AttributeError: type object 'TestSet' has no attribute 'objLogDrive',"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
1,TESTCASE_60.044.002,Program Manager - New Softkey functionality,Program Manager - New Softkey functionality,2,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\Program_Manager\suite_PM_New\tst_PM_CreateNewFile\test.py:1228 - AttributeError: type object 'TestSet' has no attribute 'objLogDrive',"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
1,TESTCASE_60.051.002,Program Manager - Verification of Functionality of Rights for 'write' operation of part/sub programs/Workpieces,Program Manager - Verification of Functionality of Rights for 'write' operation of part/sub programs/Workpieces,7,Could not configure Logical Drive.  Line -106,"Could not configure Logical Drive. (Screenshot in ""D:/ITSReports/3457/4591/ad90528pc_220139_Run1/squishlogs/06.21.00.00.000222/EVO/PM_PropertiesRights_USB_File/Errors\suite_PM_Properties\tst_Properties_File\failedImages\failed_1.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\Program_Manager\suite_PM_Properties\tst_Properties_File\test.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4591/ad90528pc_220139_Run1/squishlogs/06.21.00.00.000222/EVO/PM_PropertiesRights_USB_File/Errors\suite_PM_Properties\tst_Properties_File\errorImages\error_1.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\Program_Manager\suite_PM_Properties\tst_Properties_File\test.py:384 - AttributeError: type object 'TestSet' has no attribute 'objPM'",USB is not present on Target,no_USB,21
1,TESTCASE_20.019.001,DG: Test alarm list,DG: Test alarm list,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Diagnostics_operating_area\suite_DG_Alarms\tst_ALARMLIST\test.py:43 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
2,TESTCASE_20.019.003,DG: Test messages,DG: Test messages,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Diagnostics_operating_area\suite_DG_Alarms\tst_MESSAGES\test.py:43 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
3,TESTCASE_20.020.001,DG: Basic test of axis diagnosis dialog,DG: Basic test of axis diagnosis dialog,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Diagnostics_operating_area\suite_DG_Axisdiag\tst_test_main\test.py:44 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
4,TESTCASE_20.021.001,DG: Basic test of PLC/NC status dialog,DG: Basic test of PLC/NC status dialog,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Diagnostics_operating_area\suite_DG_PLC_Vars\tst_test_main\test.py:44 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
5,TESTCASE_20.022.006,DG: Test of System Boot loader and OnBoardSW,DG: Test of System Boot loader and OnBoardSW,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,2,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Diagnostics_operating_area\suite_DG_Versions\tst_systembootloader_onboardSW\test.py:36 - NameError: name 'getTargetRes' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
6,TESTCASE_20.016.001,Common: Load a part program into testtarget NC,Common: Load a part program into testtarget NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\suite_part_programs\tst_load_partprogram\test.py:43 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
7,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
8,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
1,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
2,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
3,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
4,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
1,TESTCASE_20.005.003,PM: Base Test of program manager,PM: Base Test of program manager,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\suite_PM001\tst_test_main\test.py:40 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
2,TESTCASE_20.005.001,PM: Handling of workpieces,PM: Handling of workpieces,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\suite_PM001\tst_Workpiece\test.py:41 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
3,TESTCASE_20.005.002,PM: Handling of part programs,PM: Handling of part programs,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.21.00.00.000222\hmi.swtest\testcase_repository\User_Operating\Program_operating_area\suite_PM001\tst_Partprog\test.py:40 - NameError: name 'sl_Check' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
